Age,Gender,Income_Level,Product_Category,Ad_Interaction,Discount_Offered in(%),TPP in Past,Purchase
27,Female,High,Electronics,No,4,8,No
41,Male,Medium,Beauty Products,No,2,16,Yes
52,Male,High,Groceries,No,15,3,Yes
35,Female,Low,Car,Yes,16,6,Yes
49,Male,Low,Groceries,Yes,23,4,Yes
29,Female,Low,Beauty Products,Yes,16,12,Yes
40,Female,Low,Car,No,24,2,No
58,Male,High,Designer items,Yes,29,16,Yes
37,Female,Low,Car,No,15,12,No
36,Female,Low,Electronics,No,16,3,Yes
29,Female,High,Groceries,No,28,8,Yes
36,Male,Medium,Electronics,Yes,11,8,Yes
24,Male,Medium,Groceries,No,27,13,Yes
48,Male,Medium,Beauty Products,No,19,18,No
33,Male,High,Groceries,No,20,4,Yes
52,Female,High,Beauty Products,No,11,19,Yes
38,Male,Medium,Designer items,No,3,15,No
56,Male,Medium,Electronics,Yes,12,9,Yes
56,Female,Low,Groceries,No,13,4,Yes
52,Female,Low,Beauty Products,Yes,22,10,No
28,Female,High,Groceries,No,17,14,Yes
29,Female,High,Car,No,8,9,No
34,Female,High,Electronics,Yes,28,5,Yes
24,Female,Low,Car,Yes,13,12,No
57,Female,Medium,Electronics,Yes,9,8,Yes
44,Female,Low,Beauty Products,No,25,1,Yes
22,Female,Low,Electronics,No,28,4,Yes
55,Female,Low,Car,No,18,7,Yes
18,Male,Low,Beauty Products,Yes,21,19,Yes
34,Female,High,Beauty Products,Yes,30,6,Yes
42,Female,High,Car,No,12,3,No
53,Male,Medium,Groceries,Yes,5,18,No
56,Female,High,Car,Yes,26,9,No
43,Female,Medium,Electronics,Yes,18,6,Yes
20,Male,Medium,Electronics,No,12,12,Yes
45,Male,Medium,Car,No,29,19,Yes
45,Male,Low,Beauty Products,Yes,7,8,No
56,Male,Medium,Designer items,Yes,0,2,Yes
30,Female,High,Car,No,27,16,Yes
42,Male,Low,Groceries,Yes,23,0,No
55,Male,Low,Groceries,Yes,20,5,Yes
49,Female,Medium,Designer items,Yes,12,14,No
38,Male,Medium,Groceries,Yes,15,10,Yes
54,Female,High,Beauty Products,Yes,3,2,No
36,Female,Low,Electronics,Yes,19,17,Yes
58,Male,High,Electronics,No,16,13,Yes
32,Female,Low,Designer items,No,30,0,No
20,Female,Medium,Electronics,Yes,15,10,Yes
29,Male,Low,Car,Yes,9,15,No
25,Female,Medium,Electronics,Yes,5,11,Yes
41,Female,Medium,Groceries,No,27,7,Yes
45,Male,Medium,Car,Yes,3,7,Yes
45,Male,High,Designer items,Yes,27,4,Yes
58,Female,Medium,Car,Yes,3,16,No
26,Female,High,Car,No,0,19,No
30,Male,Medium,Designer items,No,27,15,Yes
46,Female,Low,Beauty Products,Yes,12,13,Yes
52,Male,Medium,Electronics,No,28,5,Yes
35,Male,Medium,Car,Yes,18,4,No
42,Male,High,Groceries,Yes,1,9,Yes
47,Male,High,Car,No,17,12,No
22,Male,Low,Beauty Products,Yes,22,0,Yes
18,Female,Low,Groceries,No,17,14,Yes
28,Male,Low,Car,Yes,20,16,No
30,Female,Medium,Groceries,No,0,1,Yes
58,Male,Medium,Groceries,No,2,0,Yes
38,Female,Medium,Groceries,Yes,15,5,Yes
45,Male,Medium,Beauty Products,Yes,16,4,Yes
48,Female,Medium,Designer items,Yes,4,5,Yes
20,Male,Low,Electronics,Yes,20,4,No
54,Female,Medium,Beauty Products,Yes,9,9,No
36,Female,Low,Car,No,16,13,No
26,Female,Medium,Beauty Products,No,13,0,Yes
30,Female,Low,Car,Yes,3,0,No
57,Male,Medium,Groceries,Yes,1,7,Yes
56,Male,Medium,Electronics,Yes,25,1,Yes
20,Male,Low,Groceries,Yes,26,17,Yes
29,Female,Medium,Designer items,Yes,0,11,No
22,Male,Medium,Designer items,Yes,29,16,Yes
40,Male,Low,Designer items,Yes,14,4,No
38,Female,Medium,Beauty Products,No,13,1,No
28,Female,Medium,Beauty Products,No,18,6,Yes
55,Female,Low,Car,Yes,27,1,No
55,Female,Medium,Car,Yes,17,1,No
35,Female,Medium,Car,No,29,14,Yes
44,Female,High,Car,Yes,18,1,No
55,Female,High,Car,No,0,14,No
47,Female,Low,Beauty Products,Yes,22,9,No
34,Male,Medium,Groceries,Yes,4,3,Yes
27,Female,Low,Electronics,Yes,23,16,No
27,Female,Medium,Groceries,Yes,16,19,Yes
41,Male,Medium,Groceries,Yes,4,1,No
23,Male,Medium,Groceries,Yes,20,1,Yes
30,Female,Low,Groceries,No,29,10,Yes
28,Male,Medium,Beauty Products,Yes,18,14,Yes
40,Male,High,Designer items,No,22,15,Yes
48,Female,Medium,Groceries,Yes,10,15,Yes
25,Male,High,Electronics,Yes,3,7,Yes
21,Male,Low,Car,No,23,2,No
49,Female,High,Beauty Products,Yes,2,17,Yes
36,Male,Medium,Beauty Products,No,20,4,Yes
35,Female,Medium,Designer items,No,27,9,No
39,Male,High,Designer items,Yes,20,5,Yes
18,Female,Low,Designer items,No,4,8,No
29,Female,Medium,Groceries,Yes,25,13,Yes
51,Male,Low,Designer items,No,16,13,Yes
43,Male,Medium,Groceries,No,12,8,Yes
43,Male,Low,Car,Yes,24,14,No
39,Male,Low,Electronics,No,14,10,Yes
34,Male,Medium,Groceries,Yes,25,3,Yes
18,Male,Low,Electronics,Yes,7,16,Yes
52,Male,High,Groceries,Yes,28,19,Yes
32,Female,High,Designer items,Yes,14,13,Yes
43,Male,Low,Groceries,No,27,13,Yes
41,Female,High,Beauty Products,Yes,1,12,Yes
43,Male,Medium,Car,Yes,13,18,No
24,Female,Medium,Car,Yes,2,14,Yes
40,Male,Medium,Designer items,Yes,13,10,Yes
35,Female,Medium,Beauty Products,Yes,25,5,Yes
52,Male,Medium,Groceries,No,18,14,Yes
42,Male,High,Beauty Products,Yes,22,4,Yes
45,Female,High,Groceries,No,9,6,Yes
34,Male,Low,Designer items,No,6,11,No
42,Female,Medium,Car,Yes,16,12,No
37,Female,Low,Electronics,No,24,3,No
27,Male,Low,Electronics,Yes,2,8,Yes
35,Female,Low,Car,No,14,3,No
39,Female,High,Beauty Products,Yes,1,14,No
25,Male,Low,Groceries,No,7,16,Yes
36,Female,Low,Groceries,No,9,8,Yes
54,Female,High,Electronics,No,5,19,Yes
43,Female,Medium,Beauty Products,No,1,12,No
23,Male,Low,Beauty Products,Yes,4,0,Yes
39,Female,Low,Groceries,Yes,20,5,Yes
23,Female,Low,Electronics,Yes,22,15,No
21,Female,High,Beauty Products,Yes,29,10,No
47,Female,High,Car,Yes,30,8,No
20,Male,Medium,Car,No,18,7,No
54,Male,Medium,Designer items,Yes,3,5,No
19,Male,Low,Beauty Products,No,19,10,No
21,Female,High,Groceries,No,14,5,Yes
47,Female,Medium,Electronics,No,23,5,Yes
19,Female,Low,Designer items,Yes,14,10,No
25,Female,Low,Groceries,Yes,25,18,Yes
22,Male,Medium,Electronics,Yes,5,3,No
36,Male,Medium,Electronics,No,19,0,No
37,Male,High,Groceries,Yes,16,11,Yes
18,Male,Low,Designer items,No,25,13,No
55,Male,Low,Designer items,Yes,4,10,No
53,Female,Medium,Beauty Products,Yes,12,10,No
20,Male,Low,Car,Yes,0,5,No
27,Female,High,Beauty Products,No,4,9,No
19,Male,Low,Groceries,Yes,12,7,Yes
19,Male,Low,Beauty Products,No,19,0,Yes
54,Male,Medium,Car,Yes,8,16,Yes
26,Female,Low,Designer items,No,10,14,No
41,Female,Medium,Car,Yes,5,2,No
47,Male,Medium,Groceries,Yes,30,16,Yes
22,Male,High,Designer items,No,29,11,Yes
31,Male,Medium,Beauty Products,No,20,10,Yes
26,Female,Low,Beauty Products,No,1,11,No
52,Female,Medium,Car,No,2,0,No
57,Female,High,Groceries,Yes,21,7,Yes
28,Male,Medium,Electronics,No,8,4,Yes
31,Male,Medium,Electronics,Yes,27,2,Yes
38,Female,High,Groceries,No,4,4,Yes
36,Male,Medium,Beauty Products,Yes,26,13,Yes
43,Male,Medium,Designer items,Yes,29,3,Yes
42,Female,Medium,Beauty Products,Yes,12,9,No
42,Female,Low,Groceries,Yes,17,7,Yes
25,Female,High,Electronics,No,6,7,Yes
31,Female,Low,Electronics,No,18,5,Yes
50,Female,Medium,Car,Yes,22,14,No
50,Female,High,Electronics,Yes,24,16,Yes
50,Female,Medium,Groceries,No,14,1,Yes
31,Male,Medium,Beauty Products,Yes,20,7,Yes
57,Female,Medium,Electronics,No,18,6,Yes
23,Male,Medium,Designer items,Yes,5,2,No
24,Male,Medium,Groceries,Yes,18,7,Yes
59,Male,Medium,Car,Yes,19,14,Yes
46,Male,Medium,Electronics,No,0,19,Yes
47,Female,Medium,Beauty Products,Yes,6,3,No
46,Female,High,Groceries,Yes,5,0,Yes
54,Female,Medium,Beauty Products,Yes,26,0,Yes
21,Female,Low,Car,Yes,21,1,No
27,Female,High,Car,Yes,4,9,No
50,Male,High,Beauty Products,No,21,5,No
30,Female,Low,Beauty Products,Yes,30,14,Yes
53,Male,Low,Car,Yes,12,19,Yes
32,Female,Low,Designer items,Yes,28,7,No
22,Male,Low,Car,Yes,28,14,No
21,Female,High,Electronics,Yes,11,12,Yes
19,Female,High,Groceries,No,26,18,No
53,Female,High,Groceries,Yes,3,10,Yes
44,Female,Medium,Designer items,No,4,19,No
28,Female,Medium,Electronics,Yes,29,9,Yes
57,Female,High,Groceries,Yes,5,5,Yes
25,Female,Medium,Electronics,No,22,14,No
43,Male,Medium,Groceries,Yes,13,10,Yes
29,Male,Low,Electronics,Yes,25,12,Yes
57,Male,High,Groceries,Yes,29,17,Yes
42,Male,Medium,Car,No,0,14,Yes
57,Male,Medium,Electronics,No,27,10,Yes
29,Female,High,Designer items,No,11,3,No
21,Female,Low,Designer items,Yes,4,4,No
25,Male,High,Car,Yes,30,9,Yes
45,Female,High,Designer items,No,30,8,Yes
46,Female,High,Electronics,Yes,13,7,Yes
58,Male,High,Groceries,Yes,21,10,Yes
40,Female,Low,Groceries,Yes,0,13,Yes
54,Female,Medium,Designer items,Yes,20,13,No
53,Female,Medium,Electronics,No,21,0,Yes
57,Male,Medium,Groceries,Yes,14,14,No
26,Female,High,Electronics,Yes,20,8,Yes
27,Female,Low,Designer items,Yes,19,8,Yes
52,Female,Medium,Designer items,No,30,19,No
42,Male,Medium,Beauty Products,Yes,25,10,Yes
55,Female,Medium,Car,Yes,1,6,No
35,Male,Medium,Groceries,No,26,1,No
44,Male,Medium,Designer items,No,16,10,Yes
41,Female,Medium,Beauty Products,Yes,24,6,Yes
23,Male,Medium,Beauty Products,No,20,0,No
46,Female,Medium,Car,Yes,30,10,Yes
39,Male,High,Car,No,25,17,No
38,Male,Low,Beauty Products,Yes,16,6,No
34,Female,Medium,Designer items,Yes,19,8,Yes
37,Male,High,Electronics,Yes,21,7,Yes
24,Female,Low,Electronics,No,0,12,No
47,Male,High,Designer items,Yes,22,18,Yes
36,Male,Low,Car,No,29,16,No
46,Male,Medium,Designer items,No,29,15,No
57,Female,High,Electronics,No,18,17,Yes
18,Female,Medium,Electronics,Yes,13,18,No
19,Female,Medium,Designer items,Yes,21,16,No
47,Male,Medium,Designer items,No,5,18,No
21,Female,High,Electronics,Yes,0,7,No
46,Male,Medium,Groceries,Yes,22,6,No
20,Male,Medium,Car,No,9,9,No
36,Male,High,Car,Yes,13,1,Yes
50,Male,Low,Beauty Products,Yes,22,17,Yes
24,Male,Medium,Beauty Products,No,28,7,No
18,Male,Low,Groceries,No,24,2,No
41,Female,Medium,Beauty Products,Yes,22,7,No
54,Male,High,Beauty Products,Yes,2,18,Yes
50,Male,Medium,Beauty Products,No,27,14,Yes
25,Female,Medium,Groceries,No,1,2,Yes
49,Female,Medium,Designer items,Yes,23,13,No
49,Female,Medium,Designer items,No,23,13,Yes
33,Female,Medium,Car,No,3,19,No
54,Female,Low,Designer items,Yes,21,13,No
48,Male,High,Groceries,Yes,22,15,Yes
35,Male,Low,Electronics,No,6,9,Yes
24,Male,High,Beauty Products,Yes,0,18,No
36,Male,Medium,Car,No,3,17,No
19,Male,Low,Electronics,No,0,14,No
22,Female,Low,Designer items,No,19,10,No
59,Female,Medium,Groceries,Yes,30,1,Yes
20,Female,Low,Car,No,22,11,Yes
37,Female,Low,Groceries,Yes,4,4,No
55,Female,High,Car,Yes,29,8,Yes
51,Male,High,Groceries,Yes,20,11,Yes
52,Female,Medium,Designer items,Yes,19,11,No
41,Female,Medium,Electronics,Yes,16,9,Yes
47,Female,Medium,Designer items,Yes,23,13,No
40,Male,High,Car,No,16,17,Yes
34,Male,High,Car,Yes,13,8,No
57,Male,Medium,Designer items,Yes,1,12,Yes
42,Female,Low,Beauty Products,No,6,8,Yes
39,Male,Medium,Electronics,Yes,10,13,Yes
21,Male,Low,Groceries,Yes,25,12,Yes
51,Male,Medium,Designer items,No,22,4,No
28,Female,Low,Beauty Products,No,5,17,Yes
38,Female,Medium,Groceries,Yes,9,3,Yes
58,Male,High,Groceries,No,5,1,No
34,Female,High,Car,Yes,4,5,No
29,Male,Low,Car,Yes,22,9,No
39,Male,Medium,Groceries,No,20,5,No
44,Female,Medium,Beauty Products,Yes,7,1,No
29,Male,Medium,Groceries,Yes,12,6,No
27,Male,Low,Designer items,No,12,16,No
43,Female,Medium,Car,Yes,20,13,Yes
19,Female,Medium,Electronics,Yes,27,10,Yes
18,Female,Medium,Car,Yes,18,3,No
43,Female,High,Groceries,No,28,10,Yes
57,Female,High,Electronics,Yes,10,3,Yes
56,Female,Medium,Designer items,Yes,7,2,No
51,Male,High,Car,Yes,22,14,Yes
41,Female,High,Designer items,Yes,21,4,Yes
50,Female,Low,Groceries,Yes,25,3,Yes
37,Female,Low,Designer items,Yes,18,2,No
34,Male,Medium,Car,Yes,29,12,Yes
51,Female,Medium,Groceries,Yes,8,1,Yes
26,Male,High,Beauty Products,Yes,8,7,Yes
34,Female,Medium,Designer items,Yes,0,10,Yes
57,Female,Low,Electronics,Yes,9,6,Yes
52,Male,Low,Groceries,No,2,17,Yes
54,Male,High,Electronics,Yes,11,11,Yes
47,Female,Medium,Beauty Products,No,5,1,Yes
29,Male,Medium,Beauty Products,Yes,18,4,No
34,Female,Medium,Electronics,Yes,9,16,Yes
29,Male,Medium,Electronics,Yes,29,15,Yes
41,Male,High,Groceries,No,18,7,Yes
48,Male,High,Designer items,No,20,16,Yes
40,Female,High,Electronics,No,4,15,Yes
23,Female,High,Electronics,Yes,7,17,Yes
42,Female,Medium,Designer items,No,11,14,Yes
43,Female,High,Electronics,Yes,8,12,No
43,Male,High,Electronics,No,14,9,Yes
33,Male,High,Beauty Products,Yes,6,16,Yes
40,Male,High,Designer items,Yes,25,6,Yes
31,Female,Medium,Groceries,Yes,14,6,Yes
26,Male,Low,Beauty Products,Yes,18,15,Yes
25,Male,High,Beauty Products,Yes,17,17,Yes
48,Male,Low,Electronics,Yes,29,19,No
56,Female,Low,Groceries,Yes,2,17,Yes
59,Male,Medium,Electronics,Yes,6,16,No
31,Male,Medium,Groceries,No,30,2,Yes
51,Male,High,Car,No,2,4,No
57,Male,Medium,Beauty Products,Yes,25,11,Yes
56,Male,Medium,Electronics,Yes,14,16,Yes
21,Male,Low,Beauty Products,Yes,28,12,Yes
35,Male,Low,Designer items,Yes,0,15,No
59,Male,High,Beauty Products,No,11,1,No
52,Female,Medium,Designer items,Yes,9,1,No
47,Female,Medium,Groceries,No,26,12,Yes
30,Male,Medium,Electronics,No,17,2,No
56,Male,Medium,Beauty Products,No,13,19,Yes
46,Male,Medium,Car,Yes,29,16,Yes
46,Male,Medium,Beauty Products,Yes,29,11,Yes
33,Male,Medium,Beauty Products,Yes,23,11,Yes
27,Female,Low,Groceries,No,29,6,No
37,Male,High,Electronics,Yes,4,0,Yes
47,Female,Medium,Electronics,No,16,2,Yes
31,Male,High,Electronics,Yes,23,17,Yes
21,Male,Medium,Groceries,Yes,17,4,Yes
42,Female,Low,Electronics,Yes,15,0,Yes
32,Female,Low,Beauty Products,Yes,8,14,Yes
41,Male,High,Electronics,No,3,11,Yes
54,Female,High,Designer items,No,28,4,Yes
23,Female,Low,Car,No,6,13,Yes
41,Female,High,Designer items,No,10,12,Yes
51,Male,Medium,Beauty Products,No,24,6,No
21,Female,Medium,Beauty Products,Yes,26,7,Yes
37,Female,Low,Groceries,Yes,28,18,No
27,Male,Medium,Car,No,10,1,No
43,Male,High,Groceries,No,8,16,Yes
20,Male,Low,Groceries,No,23,5,Yes
22,Female,Low,Beauty Products,No,4,14,Yes
40,Female,Low,Car,Yes,16,8,Yes
52,Female,High,Groceries,No,19,16,Yes
59,Female,Low,Car,No,2,17,No
35,Female,High,Beauty Products,Yes,29,16,Yes
41,Female,Medium,Groceries,No,2,2,Yes
55,Female,Medium,Beauty Products,No,12,14,No
42,Male,High,Car,No,8,3,No
31,Female,Low,Designer items,Yes,4,1,No
28,Female,Medium,Designer items,Yes,8,2,No
45,Female,Medium,Groceries,Yes,28,8,Yes
20,Female,Medium,Car,No,24,1,No
29,Male,High,Electronics,No,9,8,Yes
32,Male,Medium,Designer items,Yes,7,4,Yes
28,Male,Low,Groceries,No,26,1,Yes
41,Male,Low,Car,Yes,27,14,No
55,Female,Low,Groceries,No,7,4,Yes
43,Male,High,Designer items,Yes,17,5,Yes
54,Female,High,Designer items,Yes,27,15,Yes
30,Female,High,Electronics,No,27,4,Yes
30,Female,Low,Car,Yes,16,17,No
57,Female,High,Designer items,No,12,18,Yes
20,Female,Medium,Beauty Products,No,23,7,Yes
51,Male,High,Groceries,Yes,7,12,Yes
50,Male,High,Groceries,No,5,18,Yes
33,Male,Low,Electronics,Yes,7,0,No
58,Female,Low,Car,No,12,10,Yes
42,Female,High,Beauty Products,Yes,20,9,Yes
53,Male,High,Car,Yes,30,5,Yes
24,Female,Low,Car,Yes,4,10,No
48,Female,Medium,Electronics,No,22,9,Yes
27,Male,Medium,Beauty Products,Yes,10,6,Yes
48,Male,Medium,Designer items,Yes,17,3,Yes
19,Female,Medium,Car,No,13,12,No
46,Male,High,Car,Yes,11,6,Yes
19,Male,Low,Beauty Products,Yes,12,13,No
44,Male,High,Car,No,16,8,No
34,Female,Low,Groceries,Yes,7,1,Yes
41,Male,High,Groceries,No,12,2,Yes
23,Male,High,Groceries,Yes,18,6,No
27,Female,Medium,Electronics,Yes,8,1,Yes
45,Female,High,Designer items,Yes,27,14,Yes
47,Male,High,Car,No,4,3,Yes
37,Male,High,Car,Yes,3,17,No
21,Male,High,Designer items,Yes,26,16,No
29,Male,High,Electronics,Yes,21,16,Yes
27,Male,High,Groceries,Yes,21,0,Yes
39,Male,Medium,Car,Yes,25,17,Yes
31,Male,Low,Electronics,No,14,11,No
53,Female,High,Groceries,Yes,26,2,Yes
29,Female,Medium,Groceries,No,6,10,Yes
50,Male,Medium,Electronics,No,5,14,Yes
32,Male,High,Designer items,No,18,10,Yes
40,Female,Medium,Car,Yes,25,1,No
51,Male,High,Groceries,Yes,28,3,No
34,Male,Medium,Car,No,2,12,Yes
58,Female,High,Beauty Products,No,6,14,Yes
46,Male,High,Car,Yes,28,10,Yes
49,Male,Medium,Beauty Products,Yes,1,14,No
31,Female,Low,Groceries,No,19,10,Yes
44,Female,High,Groceries,Yes,2,16,Yes
45,Male,High,Designer items,Yes,28,14,Yes
33,Male,Medium,Electronics,Yes,4,19,No
23,Female,Low,Groceries,Yes,18,4,Yes
20,Male,Low,Groceries,Yes,26,0,No
55,Female,Low,Designer items,Yes,14,1,Yes
52,Male,Medium,Designer items,No,16,11,No
35,Male,Medium,Beauty Products,Yes,14,11,Yes
33,Male,High,Car,Yes,26,7,No
42,Female,Medium,Designer items,Yes,16,7,No
32,Female,Medium,Beauty Products,No,26,13,Yes
